contentsid;label;contentscd;title;regioncd_value;regioncd_label;region1cd_value;region1cd_label;region2cd_value;region2cd_label;tag
CNTS_200000000015109;쇼핑;c2;숲을걷다;1;북부;region1;제주시;12;애월;애월,소품샵,감귤모자,의류,엽서,잡화
CNTS_000000000021301;쇼핑;c2;아코하루;1;북부;region1;제주시;11;제주시내;쇼핑,공방,기념품,공용주차장,현금결제,카드결제,무료WIFI,편의점
CNTS_200000000007257;쇼핑;c2;풍년상회;1;북부;region1;제주시;15;조천;쇼핑,기념품
CNTS_200000000013168;축제/행사;c5;세계자동차&피아노박물관 4th 봄날의 향연 뮤지엄콘서트;4;남부;region2;서귀포시;23;안덕;축제,문화관광
CNTS_000000000017497;정보;c7;이중섭미술관;4;남부;region2;서귀포시;21;서귀포시내;
CNTS_200000000014956;음식점;c4;R14;3;서부;region1;제주시;13;한림;한림,월령리,스콘,백년초,아이스크림,콜드브루,허브차,생딸기우유,바닐라빈라떼
CNTS_300000000012909;축제/행사;c5;근하신뇽! 2024년도 9.81파크 제주와 함께해용!;1;북부;region1;제주시;12;애월;부모,커플,혼자,가족,친구,아이와함께,축제,제주가볼만한곳,테마공원,포토스팟,981파크
CNTS_200000000010802;테마여행;c6;한국관광공사 '2020년 언택트관광지(가을편)'에 선정된<제주의 언택트관광지 7>;1;북부;region1;제주시;12;애월;가을,언택트,비대면
CNTS_200000000012253;테마여행;c6;제우스와 함께하는 니영나영 같이가게 캠페인 <반려견과 함께 떠나는 제주여행>;1;북부;region1;제주시;12;애월;반려견,강아지,도기키친프롬제주,멍멍플레이스,브레이브독스,카페3535.1,카페비글
CNTS_300000000015996;쇼핑;c2;혜리스마스;2;동부;region1;제주시;16;구좌;구좌읍,세화리,소품샵,핸드메이드,잡화,레진공예
CNTS_200000000014977;쇼핑;c2;책은 선물;3;서부;region1;제주시;14;한경;한경면,신창리,서점,책방
CNTS_200000000007955;쇼핑;c2;아워키친;1;북부;region1;제주시;11;제주시내;쇼핑,소품,그릇,주방용품,공용주차장
CNTS_200000000007519;음식점;c4;바닐라파레트;1;북부;region1;제주시;11;제주시내;카페,커피,디저트,음식,아메리카노,카페라떼,녹차라떼,돌체라떼,딸기라떼,딸기스무디,빵,에그타르트,크림라떼,에이드,라떼,차,밀크티,홍차,얼그레이,플랫화이트,카푸치노,콜드브루,콜드브루라떼,바닐라라떼,치즈케이크,현금결제,카드결제,무료WIFI,카드결제,현금결제,어린이출입불가
CNTS_200000000013206;테마여행;c6;봄바람 따라 제주 바다내음 가득한 <4월의 광도르방 투어>;1;북부;region1;제주시;11;제주시내;광도르방,4월광도르방투어,제주봄여행,제주바다,인생샷,제주여행
CNTS_200000000014989;쇼핑;c2;뱅뱅와인마켓;1;북부;region1;제주시;11;제주시내;제주시내,오라동,와인,샴페인
CNTS_000000000019160;숙박;c3;해변여행;1;북부;region1;제주시;12;애월;펜션,공용주차장,화장실,무료WIFI,아주어려움
CNTS_000000000022717;숙박;c3;체이슨호텔 더 스마일;4;남부;region2;서귀포시;21;서귀포시내;호텔,숙소,공공와이파이존,주차장,조식,컨시어지서비스,물품보관서비스,카페,엘리베이터,공용주차장,무료WIFI
CONT_000000000501103;숙박;c3;포지타노인제주;2;동부;region2;서귀포시;17;성산;휴식,공용주차장,현금결제,카드결제,화장실,무료WIFI,유도및안내시설,경보및피난시설,아주어려움
CNTS_000000000021903;숙박;c3;제주 해피펜션;1;북부;region1;제주시;11;제주시내;펜션,휴식,숙소,휴양펜션,주차장,포장판매,공공와이파이존,독채,스파,단체여행객,온돌방,가족,풀빌라,해수욕장,바비큐,해변,제주시권,공용주차장,카드결제,무료WIFI
CNTS_200000000012869;테마여행;c6;제주 겨울과 동백꽃 <2월 광도르방 투어>;1;북부;region1;제주시;11;제주시내;부모,커플,혼자,친구,아이,맑음,흐림,비.눈,경관/포토,체험관광,겨울
CNTS_000000000019251;숙박;c3;다이브게스트하우스;4;남부;region2;서귀포시;21;서귀포시내;숙소,게스트하우스,민박,수상레저,체험,레저/체험,스쿠버다이빙,주차장,공공와이파이존,교통,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,음료대,유도및안내시설,경보및피난시설,아주어려움
CNTS_200000000015134;쇼핑;c2;아꼬아;1;북부;region1;제주시;11;제주시내;제주시내,삼도동,생과일주스,잡화,문구류
CNTS_200000000008955;테마여행;c6;로컬투어 마을참견 4 <시사만화 황우럭의 고향, 강창욱 삼촌이 말하는 한림리>;1;북부;region1;제주시;11;제주시내;친구,문화유적지,휴식/힐링,사계절
CNTS_200000000014947;음식점;c4;플랏포커피;1;북부;region1;제주시;11;제주시내;제주시내,노형,플랫화이트,스콘,에이드,요거트볼,플랫화이트
CNTS_200000000009613;테마여행;c6;순백의 겨울왕국 <마라도 겨울이야기>;1;북부;region1;제주시;11;제주시내;부모,커플,혼자,친구,비.눈,경관/포토,겨울,청년,중/장년,노년,마라도
CNTS_000000000021044;숙박;c3;더쉼팡스파&풀빌라;2;동부;region2;서귀포시;26;표선;풀빌라,숙소,스파,펜션,휴양펜션,독채,가족,리조트,올레길,자연경관,무장애관광,농어촌민박,공용주차장,무료WIFI,흡연구역,장애인화장실,어려움
CNTS_000000000022290;음식점;c4;라쁠라주;1;북부;region1;제주시;11;제주시내;카페,수제디저트,브런치,케이크,음식,햄버거스테이크,햄버거,치즈버거,감자튀김,더블치즈버거,피쉬&칩스,베이컨치즈버거,아메리카노,수제버거,공용주차장,현금결제,카드결제,화장실,무료WIFI
CNTS_200000000015063;쇼핑;c2;페이보릿;2;동부;region2;서귀포시;17;성산;성산,고성리,소품샵,캠핑용품,리사이클링,업사이클링
CNTS_300000000015990;쇼핑;c2;위트사이다;1;북부;region1;제주시;11;제주시내;제주시내,삼도동,소품샵,잡화
CNTS_000000000022695;음식점;c4;하빌리스;1;북부;region1;제주시;11;제주시내;감귤스무디,카페,커피,음료,음식,바나나팬케이크,빵,디저트,바닐라라떼,아메리카노,케이크,차,홍차,녹차,루이보스,라떼,초코라떼,말차라떼,생강라떼,에이드,자몽에이드,스무디,망고스무디,에스프레소,카페라떼,카페모카,카푸치노,플랫화이트,더치커피,핸드드립커피
CONT_000000000500985;숙박;c3;오빌하우스;4;남부;region2;서귀포시;25;남원;게스트하우스,숙소,펜션,휴양펜션,가족,바비큐,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료WIFI,유도및안내시설,경보및피난시설,아주어려움
CONT_000000000501099;숙박;c3;펠리스타운;2;동부;region2;서귀포시;17;성산;휴식,펜션,휴양펜션,공공와이파이존,숙소,일반숙박,힐링쉼터,공용주차장,무료WIFI
CNTS_000000000018229;숙박;c3;테마하우스;1;북부;region1;제주시;11;제주시내;펜션,숙소,휴양펜션,민박,바비큐,해수욕장,공항,온돌방,공용주차장,현금결제,카드결제,화장실,무료WIFI,편의점,음료대,유도및안내시설,경보및피난시설,아주어려움
CONT_000000000500849;숙박;c3;라이온힐펜션;4;남부;region2;서귀포시;23;안덕;팬션,펜션,휴양펜션,독채,단체여행객,바비큐,온돌방,가족,조식포함,체험,공공와이파이존,계곡,해수욕장,수영장,수상레저,공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,유도및안내시설,아주어려움,없음
CNTS_000000000019672;숙박;c3;제주산내들;2;동부;region2;서귀포시;26;표선;휴식,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,유도및안내시설,경보및피난시설,아주어려움
CNTS_000000000022801;테마여행;c6;설날 어디서 뭐하지? <황금개띠 해 제주에서 설을 즐기는 꿀팁>;0;테마여행;region2;서귀포시;;region>;식도락,역사,체험,박물관,민속촌,축제,실내,수목원,휴양림,체험관광,테마공원,쇼핑,문화유적지,부모,아이,겨울
CNTS_200000000014787;음식점;c4;용소담;1;북부;region1;제주시;11;제주시내;제주시내,용담,카페,바당라떼,수제청에이드,과일차,꽃차,기증편,땅콩슈페너,바당라떼,수제청에이드
CNTS_200000000014900;음식점;c4;바론;1;북부;region1;제주시;11;제주시내;제주시내,연동,케이크,딸기생크림케이크,잼,하귤에이드,청귤주스,크루아상,스콘,까눌레,딸기생크림케이크
CNTS_200000000008258;테마여행;c6;항일의 바람이 가장 먼저 분 곳 <제주에서 3·1운동 100주년 기념하기>;1;북부;region1;제주시;11;제주시내;문화유적지,친구,봄
CNTS_300000000015623;음식점;c4;오아모이;2;동부;region2;서귀포시;17;성산;성산,디저트,흑임자라떼,자몽에이드,생딸기요거트,카야토스트,마들렌,갸또쇼콜라,오아라떼,흑임자라떼,자몽라떼
CNTS_000000000018582;음식점;c4;환상의짜장;4;남부;region3;섬 속의 섬;33;마라도;짜장면,짬뽕,수타짜장면
CNTS_000000000021119;음식점;c4;하우스142;1;북부;region1;제주시;11;제주시내;한식,흑돼지,숯불구이,공용주차장,화장실,아주어려움
CNTS_000000000022026;음식점;c4;제주분식;1;북부;region1;제주시;11;제주시내;분식,모닥치기,제주해물라면,음식,떡볶이,김밥,해물라면,돈까스,라면,식당,칼국수,만두칼국수,해물칼국수,돔베고기,비빔면,밀면,돈가스
CNTS_200000000009113;음식점;c4;황금섬숯불갈비;1;북부;region3;섬 속의 섬;32;추자도;추자갈비,추자오겹살,추자장어구이,추자음식점,추자식당,추자도,음식,양념왕갈비,오겹살,조기구이,정식,식당
CONT_000000000500824;숙박;c3;다이아몬드 호텔 제주;1;북부;region1;제주시;11;제주시내;호텔,숙소,모텔,주차장,공공와이파이존,교통,물품보관서비스,무장애여행,엘리베이터,체험,무장애관광,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,편의점,음료대,유도및안내시설,경보및피난시설,엘리베이터,승강기,장애인전용주차장,아주어려움,2성급
CNTS_000000000019099;숙박;c3;아일랜드펜션;2;동부;region2;서귀포시;17;성산;휴식,숙소,펜션,휴양펜션,바비큐,단체여행객,힐링쉼터,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,편의점,유도및안내시설,경보및피난시설,아주어려움
CNTS_000000000021122;음식점;c4;컴플리트커피;1;북부;region1;제주시;11;제주시내;카페,오름라떼,커피,케이크,베이글,샌드위치,음식,아메리카노,에스프레소,카페라떼,에이드,쿠키,초코파운드,플랫화이트,카푸치노,핸드드립커피,바닐라라떼,헤이즐넛라떼,돌체라떼,카페모카,카라멜마끼아또,아포가토,라떼,아인슈페너,녹차라떼,프라페,민트초코라떼,레몬에이드,자몽에이드,패션후르츠에이드,요거트스무디,딸기요거트스무디,블루베리요거트스무디,플레인요거트스무디,차,자몽차,레몬차,녹차,얼그레이,페퍼민트,카모마일,얼그레이밀크티,콜드브루,콜드브루라떼,치즈케이크,티라미수,사과파이,현금결제,카드결제,아주어려움
CNTS_300000000015619;음식점;c4;본보이즈;1;북부;region1;제주시;12;애월;애월,한라봉스무디,천혜향스무디,샌드위치,불고기샌드위치,와인,튀르키예에그멕폴드포크샌드위치
CONT_000000000501160;음식점;c4;겐짱야;1;북부;region1;제주시;11;제주시내;우동,김밥,한식,음식,돈까스,새우튀김,현금결제,카드결제,화장실,음료대,착한가격업소
CNTS_200000000009533;테마여행;c6;‘조물조물’ 만드는 즐거움 <DIY 체험 여행지>;1;북부;region1;제주시;11;제주시내;부모,커플,혼자,친구,아이,체험관광,체험,DIY
CNTS_000000000001162;음식점;c4;육값하네식육가든;4;남부;region2;서귀포시;25;남원;흑돼지,숯불구이,목살,음식,오겹살,흑돼지구이,돼지구이,현금결제,카드결제,화장실,아주어려움
CNTS_200000000009433;테마여행;c6;술꾼 도시 처녀들 3인방의 제주 원도심 여행기<2화, 촘말로 좋은 바당>;4;남부;region2;서귀포시;25;남원;술꾼도시처녀들,리우,정뚱,꾸미,원도심여행기,목관아,바당,바다,원도심,삼도동,탑동광장,전망,탑동해안로,제주목관아,제주돌담,용담동,용두암,해녀,해산물,유네스코,인류문화예산,낯술,소라껍데기,올레17코스,비스트로,일출,일몰,로컬푸드
CNTS_200000000015058;쇼핑;c2;리울;2;동부;region1;제주시;16;구좌;구좌읍,종달리,소품샵,그림,에코백,문구류
CNTS_200000000008014;테마여행;c6;요리보고 조리보고 ‘상명리∙명월리편’ <제주의 옛 모습을 그대로 품은 마을>;2;동부;region1;제주시;16;구좌;혼자,맑음,문화유적지,휴식/힐링
CNTS_200000000007994;음식점;c4;사이카레;1;북부;region1;제주시;12;애월;카레,소떡소떡,가정식,애월해안도로,음식,가정식카레,파스타,짬뽕,키마카레,라면,현금결제,카드결제,공용주차장,무료WIFI,화장실
CNTS_200000000009312;음식점;c4;타임스탬프;1;북부;region1;제주시;15;조천;사진,카페,청년,스튜디오,흑백사진관,스튜디오카페
CNTS_000000000021992;숙박;c3;패밀리아펜션;2;동부;region2;서귀포시;26;표선;휴식,숙소,펜션,휴양펜션,독채,바비큐,공공와이파이존
