age_id,regioncd_value,pla_r_rate,pla_r_date
1,남부,5.8,1차년도
1,남부,7.4,2차년도
1,동부,6.6,1차년도
1,동부,8.5,2차년도
1,북부,7.6,1차년도
1,북부,8.8,2차년도
1,서부,5.5,1차년도
1,서부,6.6,2차년도
2,남부,14.3,1차년도
2,남부,14.7,2차년도
2,동부,16.2,1차년도
2,동부,16.2,2차년도
2,북부,14,1차년도
2,북부,14.4,2차년도
2,서부,13,1차년도
2,서부,13.2,2차년도
3,남부,17.4,1차년도
3,남부,17.5,2차년도
3,동부,15.4,1차년도
3,동부,15,2차년도
3,북부,16.2,1차년도
3,북부,16.1,2차년도
3,서부,17.8,1차년도
3,서부,18.2,2차년도
4,남부,12.5,1차년도
4,남부,12,2차년도
4,동부,11.5,1차년도
4,동부,11,2차년도
4,북부,11.8,1차년도
4,북부,11.3,2차년도
4,서부,14.4,1차년도
4,서부,13.9,2차년도
5,남부,7.8,1차년도
5,남부,7,2차년도
5,동부,8.2,1차년도
5,동부,6.9,2차년도
5,북부,6.1,1차년도
5,북부,5.5,2차년도
5,서부,10.8,1차년도
5,서부,9.5,2차년도
6,남부,6.8,1차년도
6,남부,7.9,2차년도
6,동부,9.2,1차년도
6,동부,10.9,2차년도
6,북부,9.1,1차년도
6,북부,10,2차년도
6,서부,5.4,1차년도
6,서부,6.2,2차년도
7,남부,12.1,1차년도
7,남부,11.8,2차년도
7,동부,13.6,1차년도
7,동부,12.9,2차년도
7,북부,11.7,1차년도
7,북부,11.5,2차년도
7,서부,10,1차년도
7,서부,10,2차년도
8,남부,11.7,1차년도
8,남부,11.2,2차년도
8,동부,9.4,1차년도
8,동부,9.3,2차년도
8,북부,12.2,1차년도
8,북부,11.9,2차년도
8,서부,11.3,1차년도
8,서부,11.5,2차년도
9,남부,7.7,1차년도
9,남부,7.1,2차년도
9,동부,6.7,1차년도
9,동부,6.6,2차년도
9,북부,7.8,1차년도
9,북부,7.3,2차년도
9,서부,7.7,1차년도
9,서부,7.2,2차년도
10,남부,3.7,1차년도
10,남부,3.4,2차년도
10,동부,3.2,1차년도
10,동부,2.9,2차년도
10,북부,3.5,1차년도
10,북부,3.2,2차년도
10,서부,4.1,1차년도
10,서부,3.8,2차년도
